gene_id	gene_name	ensembl_gene_id	gene_biotype	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast	source_accession	source_tissue	source_groups
MT-CO1	MT-CO1	ENSGALG00000032142	protein_coding	229855.592385212	0.0466476352196796	0.0900843613172433	0.517821678897229	0.604582691291804	0.761484786891391	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ND5	ND5	ENSGALG00000029500	protein_coding	108336.564268213	0.0508344996632572	0.100948947104666	0.503566417691812	0.614566096436431	0.768276810528329	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ND1	ND1	ENSGALG00000042750	protein_coding	97467.2139283603	-0.0198188550158529	0.0974159514879976	-0.203445685363908	0.838786694613908	0.91449053279431	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ACTB	ACTB	ENSGALG00000009621	protein_coding	93928.8688060435	-0.0179871528346088	0.0381163750034649	-0.471900930583606	0.636997503808009	0.784378865893074	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
TUBB	TUBB	ENSGALG00000041471	protein_coding	85579.3307396517	-0.0669940352604232	0.0497219479781059	-1.34737350374774	0.17785996972903	0.33493858794047	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
EEF1A1	EEF1A1	ENSGALG00000015917	protein_coding	83263.6318849497	0.0311854548338873	0.0567685500095712	0.549343867839312	0.582769487741646	0.744455606596196	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
CYTB	CYTB	ENSGALG00000032079	protein_coding	79111.9554814851	0.0868626749484119	0.101470177725927	0.856041419214123	0.391974869575834	0.581565014371042	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ATP6	ATP6	ENSGALG00000041091	protein_coding	76889.6123266318	0.0354792619574403	0.105404753078693	0.33660020939428	0.736418298332165	0.852412734344959	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ENSGALG00000028749	ENSGALG00000028749	ENSGALG00000028749	protein_coding	72947.5468012717	-0.189908759355967	0.0426722966869121	-4.45039930119847	8.57107761966898e-06	6.21554465522734e-05	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
ND4	ND4	ENSGALG00000036229	protein_coding	71490.9336581709	0.0343245963909799	0.0973945603101787	0.352428269932778	0.724517103926214	0.844058137219167	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
COX3	COX3	ENSGALG00000035334	protein_coding	62443.8950875787	0.0858610143308403	0.092227740828929	0.930967337583405	0.351870460024323	0.541374956344165	GSE230804_CSPG_positive_vs_negative	GSE230804	HH stage 18 chick embryo hindbrain boundary cells	CSPG-positive cells (n=4) vs CSPG-negative cells (n=6); GEO DESeq2 workbook
