gene_id	entrez_id	gene_name	gene_biotype	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction_at_padj0.05_lfc1	contrast	note
ENSGALG00000002496	102496	DUMMY02496	protein_coding	synthetic predicted protein-coding gene 02496	1372.167	-3.0387	0.1715	-17.7185	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001331	101331	DUMMY01331	protein_coding	synthetic predicted protein-coding gene 01331	152.833	-2.1887	0.2351	-9.3115	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000626	100626	DUMMY00626	protein_coding	synthetic predicted protein-coding gene 00626	788.0	2.2464	0.1816	12.3696	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001447	101447	DUMMY01447	protein_coding	synthetic predicted protein-coding gene 01447	549.333	-2.9053	0.2422	-11.9964	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000151	100151	DUMMY00151	protein_coding	synthetic predicted protein-coding gene 00151	584.0	1.7066	0.2031	8.4041	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000154	100154	DUMMY00154	protein_coding	synthetic predicted protein-coding gene 00154	96.333	3.362	0.3627	9.2702	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001446	101446	DUMMY01446	protein_coding	synthetic predicted protein-coding gene 01446	227.833	-1.8131	0.2108	-8.6005	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001261	101261	DUMMY01261	lncRNA	synthetic predicted protein-coding gene 01261	746.0	1.6655	0.1949	8.5447	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002318	102318	DUMMY02318	protein_coding	synthetic predicted protein-coding gene 02318	359.333	-3.1144	0.2421	-12.8637	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002719	102719	DUMMY02719	protein_coding	synthetic predicted protein-coding gene 02719	1555.167	-2.1304	0.2024	-10.5267	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001886	101886	DUMMY01886	protein_coding	synthetic predicted protein-coding gene 01886	977.833	-2.0916	0.2028	-10.3149	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001885	101885	DUMMY01885	protein_coding	synthetic predicted protein-coding gene 01885	254.667	-1.9924	0.2186	-9.1162	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001253	101253	DUMMY01253	protein_coding	synthetic predicted protein-coding gene 01253	80.0	2.455	0.2897	8.4741	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002856	102856	DUMMY02856	protein_coding	synthetic predicted protein-coding gene 02856	164.833	2.8545	0.2293	12.4492	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001481	101481	DUMMY01481	lncRNA	synthetic predicted protein-coding gene 01481	260.833	2.4156	0.2526	9.5627	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001486	101486	DUMMY01486	protein_coding	synthetic predicted protein-coding gene 01486	337.167	2.3125	0.2006	11.5299	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000046	100046	COL10A1	protein_coding	collagen type X alpha 1 chain	675.667	-1.8075	0.2039	-8.8657	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001809	101809	DUMMY01809	protein_coding	synthetic predicted protein-coding gene 01809	1939.5	-2.2556	0.1784	-12.6416	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002213	102213	DUMMY02213	protein_coding	synthetic predicted protein-coding gene 02213	2572.167	2.1574	0.1689	12.7747	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002106	102106	DUMMY02106	protein_coding	synthetic predicted protein-coding gene 02106	87.167	2.7396	0.2836	9.6602	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002212	102212	DUMMY02212	protein_coding	synthetic predicted protein-coding gene 02212	160.167	3.236	0.242	13.3702	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002923	102923	DUMMY02923	protein_coding	synthetic predicted protein-coding gene 02923	21.667	-5.2095	0.3629	-14.3535	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000894	100894	DUMMY00894	protein_coding	synthetic predicted protein-coding gene 00894	38.0	-2.6106	0.3107	-8.4025	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000902	100902	DUMMY00902	protein_coding	synthetic predicted protein-coding gene 00902	263.833	-2.1448	0.2201	-9.7428	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002662	102662	DUMMY02662	protein_coding	synthetic predicted protein-coding gene 02662	1285.833	1.914	0.179	10.6949	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000883	100883	DUMMY00883	protein_coding	synthetic predicted protein-coding gene 00883	190.0	-2.081	0.2368	-8.7894	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000887	100887	DUMMY00887	protein_coding	synthetic predicted protein-coding gene 00887	83.5	2.3323	0.2675	8.7203	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000888	100888	DUMMY00888	protein_coding	synthetic predicted protein-coding gene 00888	1087.333	1.8343	0.1808	10.1476	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000900	100900	DUMMY00900	protein_coding	synthetic predicted protein-coding gene 00900	82.833	-2.6309	0.2898	-9.0794	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001668	101668	DUMMY01668	protein_coding	synthetic predicted protein-coding gene 01668	138.167	-2.1098	0.24	-8.7909	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001675	101675	DUMMY01675	protein_coding	synthetic predicted protein-coding gene 01675	597.333	1.6726	0.2	8.3637	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002367	102367	DUMMY02367	protein_coding	synthetic predicted protein-coding gene 02367	723.0	-2.3752	0.1923	-12.349	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001035	101035	DUMMY01035	protein_coding	synthetic predicted protein-coding gene 01035	377.167	1.7637	0.2095	8.4186	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000964	100964	DUMMY00964	protein_coding	synthetic predicted protein-coding gene 00964	869.333	-2.4266	0.1872	-12.9627	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001641	101641	DUMMY01641	lncRNA	synthetic predicted protein-coding gene 01641	166.5	2.6646	0.2806	9.4967	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002229	102229	DUMMY02229	protein_coding	synthetic predicted protein-coding gene 02229	98.833	-2.0878	0.2495	-8.3691	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000918	100918	DUMMY00918	protein_coding	synthetic predicted protein-coding gene 00918	638.333	-1.9698	0.1816	-10.8453	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001697	101697	DUMMY01697	protein_coding	synthetic predicted protein-coding gene 01697	1296.667	3.089	0.1887	16.3654	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002368	102368	DUMMY02368	protein_coding	synthetic predicted protein-coding gene 02368	128.333	-2.2085	0.2521	-8.7615	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002097	102097	DUMMY02097	protein_coding	synthetic predicted protein-coding gene 02097	39.5	2.5262	0.2996	8.4331	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001117	101117	DUMMY01117	protein_coding	synthetic predicted protein-coding gene 01117	1861.833	2.1657	0.1737	12.4664	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002567	102567	DUMMY02567	protein_coding	synthetic predicted protein-coding gene 02567	1347.5	1.7703	0.1956	9.0486	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002070	102070	DUMMY02070	protein_coding	synthetic predicted protein-coding gene 02070	293.333	2.3063	0.2048	11.2636	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002061	102061	DUMMY02061	lncRNA	synthetic predicted protein-coding gene 02061	413.333	2.2412	0.1932	11.6004	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000251	100251	DUMMY00251	protein_coding	synthetic predicted protein-coding gene 00251	283.5	3.3677	0.2579	13.0579	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000262	100262	DUMMY00262	protein_coding	synthetic predicted protein-coding gene 00262	136.5	2.0544	0.2451	8.3805	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000236	100236	DUMMY00236	protein_coding	synthetic predicted protein-coding gene 00236	518.0	2.8432	0.2113	13.4582	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000244	100244	DUMMY00244	protein_coding	synthetic predicted protein-coding gene 00244	356.667	-1.8102	0.2138	-8.467	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002340	102340	DUMMY02340	protein_coding	synthetic predicted protein-coding gene 02340	88.5	2.2929	0.2647	8.6635	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001510	101510	DUMMY01510	protein_coding	synthetic predicted protein-coding gene 01510	51.0	2.4608	0.2962	8.309	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001159	101159	DUMMY01159	protein_coding	synthetic predicted protein-coding gene 01159	892.167	-3.0912	0.1964	-15.7416	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001153	101153	DUMMY01153	protein_coding	synthetic predicted protein-coding gene 01153	27.0	3.4883	0.3559	9.8011	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001182	101182	DUMMY01182	protein_coding	synthetic predicted protein-coding gene 01182	679.667	-2.0871	0.1908	-10.9369	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000235	100235	DUMMY00235	protein_coding	synthetic predicted protein-coding gene 00235	966.667	2.5497	0.1998	12.7604	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000230	100230	DUMMY00230	protein_coding	synthetic predicted protein-coding gene 00230	184.333	-2.2422	0.2246	-9.983	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000228	100228	DUMMY00228	protein_coding	synthetic predicted protein-coding gene 00228	722.167	2.1921	0.2332	9.3994	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002824	102824	DUMMY02824	protein_coding	synthetic predicted protein-coding gene 02824	140.333	-2.4792	0.2313	-10.72	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000523	100523	DUMMY00523	protein_coding	synthetic predicted protein-coding gene 00523	46.667	3.465	0.3542	9.7819	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000551	100551	DUMMY00551	protein_coding	synthetic predicted protein-coding gene 00551	1088.167	1.4463	0.172	8.4094	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000543	100543	DUMMY00543	protein_coding	synthetic predicted protein-coding gene 00543	222.167	-2.3546	0.2201	-10.6971	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000764	100764	DUMMY00764	protein_coding	synthetic predicted protein-coding gene 00764	37.667	2.596	0.3112	8.3423	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002439	102439	DUMMY02439	protein_coding	synthetic predicted protein-coding gene 02439	995.167	-2.2605	0.1864	-12.1275	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001201	101201	DUMMY01201	lncRNA	synthetic predicted protein-coding gene 01201	102.667	2.1706	0.2432	8.9245	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002112	102112	DUMMY02112	protein_coding	synthetic predicted protein-coding gene 02112	106.0	2.7142	0.2754	9.8548	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002479	102479	DUMMY02479	protein_coding	synthetic predicted protein-coding gene 02479	1022.667	-2.4793	0.1859	-13.3339	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000696	100696	DUMMY00696	protein_coding	synthetic predicted protein-coding gene 00696	144.167	2.3239	0.237	9.8046	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000701	100701	DUMMY00701	lncRNA	synthetic predicted protein-coding gene 00701	134.833	2.2944	0.2707	8.4765	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002744	102744	DUMMY02744	protein_coding	synthetic predicted protein-coding gene 02744	433.667	1.7018	0.1911	8.9057	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000611	100611	DUMMY00611	protein_coding	synthetic predicted protein-coding gene 00611	153.0	3.7799	0.2579	14.6587	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000613	100613	DUMMY00613	protein_coding	synthetic predicted protein-coding gene 00613	522.167	-3.12	0.1929	-16.1745	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000573	100573	DUMMY00573	protein_coding	synthetic predicted protein-coding gene 00573	165.0	2.4182	0.2432	9.9419	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000873	100873	DUMMY00873	protein_coding	synthetic predicted protein-coding gene 00873	320.833	2.0765	0.2023	10.2642	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
